"Gene","Count"
"TCF7",384
"PBX1",374
"SP4",372
"ZNF618",372
"SMARCA1",366
"VDR",362
"NFYA",360
"SALL3",360
"SOX9",360
"CSRNP1",356
"SOX4",356
"ZBTB44",356
"FOXC2",350
"MXD4",350
"SOX21",350
"ZNF521",350
"SREBF1",348
"ZBTB16",348
"HIF1A",346
"PKNOX2",346
"SOX2",344
"ZNF710",344
"DNMT1",342
"SP8",342
"HBP1",340
"LHX5",340
"MAF",340
"ZEB1",340
"ARNT2",338
"FOXB1",338
"GLI3",334
"KLF12",334
"ZHX2",334
"ZIC3",334
"GLI1",332
"VEZF1",332
"TP63",330
"MLXIP",328
"POU2F1",328
"ROR1",328
"SIX3",328
"FEZF2",326
"GLIS3",326
"ZNF516",326
"ARID4B",324
"HESX1",324
"NEUROD4",324
"NSD2",324
"MEIS2",322
"E2F8",320
"FOXP4",320
"MYT1",320
"ZEB2",316
"ZIC4",316
"ZNF148",316
"DEAF1",314
"GLI2",314
"IRX1",314
"TCF7L2",314
"ZHX1",314
"ZIC2",314
"LMX1B",312
"OTX1",312
"SOX8",312
"ZNF143",312
"ADNP",310
"BACH2",310
"BBX",310
"IRX2",310
"ZNF518B",310
"SOX1",308
"SOX5",308
"SREBF2",308
"ARID4A",306
"RFX4",306
"SP3",306
"TOX3",306
"ZIC1",306
"ZIC5",306
"ZNF292",306
"HIF3A",304
"MEF2A",304
"OTX2",304
"RARB",304
"IRF8",302
"NFX1",302
"PLAGL1",302
"PRRX1",302
"NR6A1",300
"SP5",300
"SPDEF",300
"ZNFX1",298
"ARID1B",296
"DMRTA2",296
"FOXJ2",296
"LHX4",296
"TCF3",296
"BACH1",294
"FOXN4",294
"GBX2",292
"IKZF2",292
"TFAP2B",292
"TOX",292
"ZBTB21",292
"DMBX1",290
"EBF2",290
"IRF2",290
"MPP2",290
"POU2F3",290
"RFX2",290
"ZFHX4",290
"ARID2",288
"MLX",288
"PRDM5",288
"SALL1",288
"PAX3",286
"RBPJ",286
"ZFPM2",286
"CUX2",284
"HDX",284
"KAT6B",284
"MIER2",284
"PAX6",284
"PITX2",284
"RXRG",284
"FOXO1",282
"MAFG",282
"RORA",282
"EVX2",280
"FEZF1",280
"CREM",278
"FOXL2",278
"HNF4A",278
"PAX7",278
"BHLHE22",276
"EMX2",276
"HES4",276
"MEIS1",276
"OLIG3",276
"ZBTB46",276
"ZHX3",276
"ZNF423",276
"BARHL2",274
"CREB3L1",274
"CUX1",274
"EBF1",272
"HSF2",272
"IRF5",272
"TBR1",272
"THRB",272
"ZBTB40",272
"BNC2",270
"LMX1A",270
"VSX1",270
"ZNF362",270
"ZNF511",270
"NFAT5",268
"RAX",268
"SIM1",268
"SMARCC2",268
"SP9",268
"TCFL5",268
"TEF",268
"THAP4",268
"ZBTB18",268
"ZBTB2",268
"DLX2",266
"ETS1",266
"OLIG2",266
"PPARD",266
"RCOR3",266
"SIX2",266
"TBX5",266
"ZBTB6",266
"ZNF414",266
"ZNF507",266
"AEBP2",264
"ATRX",264
"FOXL1",264
"MYT1L",264
"PPARA",264
"RFX3",264
"RXRA",264
"YY1",264
"IRX3",262
"NCOR2",262
"NFIA",262
"SATB1",262
"E2F6",260
"GABPA",260
"KLF11",260
"NEUROG1",260
"PGR",260
"ST18",260
"TET1",260
"ZNF644",260
"DBX2",258
"GTF3A",258
"IRX5",258
"KLF6",258
"NR1I3",258
"NR3C1",258
"PATZ1",258
"TFAM",258
"ZFAT",258
"GFI1",256
"GMEB2",256
"KLF10",256
"LHX2",256
"SMAD3",256
"TCF12",256
"NFKB1",254
"SOX30",254
"ELF1",252
"FOXF2",252
"LHX3",252
"POU6F2",252
"RFXANK",252
"ZNF366",252
"CLOCK",250
"CREB3",250
"FOXB2",250
"NFATC2",250
"PBX3",250
"HIC2",248
"KDM2A",248
"PPARG",248
"ZBTB14",248
"BARX2",246
"IKZF3",246
"NFXL1",246
"PCM1",246
"RARA",246
"TBP",246
"EGR1",244
"GATA6",244
"SOX17",244
"EAF2",242
"FOXC1",242
"IKZF1",242
"NANOG",242
"NFKBIE",242
"RBP3",242
"SIX1",242
"TWIST1",242
"ZNF384",242
"CRAMP1",240
"GATA4",240
"GATA5",240
"GATAD1",240
"FOXA1",238
"TFAP4",238
"UBTF",238
"DNAJC1",236
"GRHL1",236
"MEOX1",236
"ZNF770",236
"ATF6",234
"FOS",234
"NR2F2",234
"ZNF276",234
"NEUROD1",232
"RFX7",232
"YBX3",232
"ASCL1",230
"E2F5",230
"IRX6",230
"MEOX2",230
"ZNF302",230
"ARID3A",228
"EPAS1",228
"GCM2",228
"HOXA10",228
"HOXA9",228
"HOXB6",228
"HOXD12",228
"HSF1",228
"LHX8",228
"PAX5",228
"RC3H2",228
"SMAD5",228
"ZNF341",228
"RELA",226
"CASZ1",224
"FOXG1",224
"IRF9",224
"ISX",224
"KLF3",224
"NFKBIB",224
"POU3F1",222
"SIX6",222
"ZNF438",222
"ALX1",220
"ARNTL2",220
"JUN",220
"MYB",220
"MYF5",220
"PRRX2",220
"SSRP1",220
"ZBTB24",220
"BCL6",218
"FOXI1",218
"IKZF4",218
"KAT6A",218
"NHLH2",218
"POU4F2",218
"SOX6",218
"TFEC",218
"ZFHX3",218
"ZNF410",218
"ZNF692",218
"BCL11B",216
"ETV7",216
"FOXN1",216
"PKNOX1",216
"THAP5",216
"THAP9",216
"CREB3L2",214
"CTCFL",214
"GATA3",214
"HMGA2",214
"SNAI1",214
"PSPC1",212
"RAC3",212
"STAT3",212
"TFDP1",212
"TSC22D3",212
"BCL11A",210
"CREB5",210
"DMRT1",210
"MIER1",210
"PLAG1",210
"RFXAP",210
"YBX1",210
"ZBTB5",210
"AHR",208
"CNOT4",208
"CREB3L3",208
"MAFF",208
"PURG",208
"ZBTB25",208
"ARNTL",206
"ATOH7",206
"EGR3",206
"FOXO4",206
"GSX1",206
"HOXA11",206
"HOXC12",206
"HOXC4",206
"HOXC9",206
"HOXD8",206
"PAX9",206
"SFPQ",206
"SIX4",206
"STAT4",206
"TBX3",206
"TFAP2D",206
"TLX3",206
"FOXD3",204
"HLF",204
"IRF1",204
"LYAR",204
"TFAP2E",204
"ADNP2",202
"NFYC",202
"RAX2",202
"UNCX",202
"ZBTB48",202
"DLX5",200
"DLX6",200
"KLF15",200
"MECOM",200
"CEBPD",198
"ESR1",198
"MGA",198
"MYCL",198
"MYRF",198
"ONECUT3",198
"SOX11",198
"ZBTB37",198
"HOXC13",196
"MEF2D",196
"BARX1",194
"BATF3",194
"IRX4",194
"JDP2",194
"NFATC1",194
"ZBTB33",194
"DLX3",192
"FOXN3",192
"ZNF652",192
"FOXP3",190
"MYBL1",190
"NR1D2",190
"REL",190
"RREB1",190
"THRA",190
"ASCL3",188
"CREBL2",188
"GATA2",188
"NR2F1",188
"PRDM2",188
"PROX1",188
"ATF3",186
"HES5",186
"NR0B1",186
"NR3C2",186
"RFX5",186
"ZNF777",186
"FOSB",184
"SMAD9",184
"DBX1",182
"LRRFIP2",182
"MYC",182
"SOX12",182
"TEAD3",182
"DMAP1",180
"EMX1",180
"EN1",180
"ETS2",180
"MYOG",180
"HOXB9",178
"NR2F6",178
"TAL1",178
"ZNF800",178
"BARHL1",176
"MKX",176
"MSX2",176
"SMARCA5",176
"SRF",176
"THAP11",176
"ZNF512B",176
"ARID5A",174
"EGR4",174
"NR2E3",174
"PHF5A",174
"POU3F2",174
"RFX8",174
"TEAD4",174
"ARID3B",172
"EBF3",172
"MNX1",172
"MSX1",172
"NR4A3",172
"PRDM6",172
"RERE",172
"SMARCC1",172
"XBP1",172
"ZBTB39",172
"CDX2",170
"PTF1A",170
"RUNX2",168
"ARX",166
"BLIMP1",166
"FOXS1",166
"GRHL3",166
"GRIP1",166
"HOXB1",166
"ID1",166
"MTA3",166
"NFYB",166
"FOXM1",164
"HOXC10",164
"TSHZ2",164
"CREB1",162
"FOXD2",162
"PHTF1",162
"ARID5B",160
"ATOH8",160
"CDX4",160
"HOXC5",160
"MAFK",160
"TSC22D1",160
"BHLHE41",158
"BSX",158
"CDX1",158
"HINFP",158
"HOXB3",158
"HOXB5",158
"NPAS2",158
"STAT5B",158
"DMP1",156
"DMRT2",156
"ETV3",156
"HOXB2",156
"HOXB4",156
"OVOL2",156
"RUNX3",156
"TFCP2",156
"TWIST2",156
"VSX2",156
"EVX1",154
"FLI1",154
"HOXA4",154
"HOXB7",154
"HOXB8",154
"HOXD10",154
"HOXD3",154
"NEUROD2",154
"NRF1",154
"SPI1",154
"ZBTB20",154
"ELMSAN1",152
"HOXA3",152
"MYF6",152
"NFIL3",152
"SIM2",150
"TBX6",150
"TFDP2",150
"USF1",150
"ARNT",148
"ISL1",148
"PRDM15",148
"PRDM16",148
"SOX10",148
"TFCP2L1",148
"ZNF335",148
"ETV6",146
"KLF7",146
"MIXL1",146
"NKX6-2",146
"GATAD2B",144
"ZNF451",144
"ZNF592",144
"KLF5",142
"NR4A1",142
"PURB",142
"TSHZ1",142
"KAT7",140
"MYBL2",140
"NKX2-6",140
"SP2",140
"MTA2",138
"NFIX",138
"NR4A2",138
"PLAGL2",138
"RBPJL",138
"TAL2",138
"HIVEP1",136
"IRF6",136
"MNT",136
"MTF1",136
"STAT1",136
"TBX18",136
"VAX1",136
"ZBTB43",136
"ZNF407",136
"HOXA5",134
"LHX9",134
"ZBTB7A",134
"ZNF654",134
"BHLHE40",132
"LCP1",132
"NCOR1",132
"PAX1",132
"PBX4",132
"PURA",132
"ZBED4",132
"ZBTB38",132
"NKX2-1",131
"BHLHE23",130
"HPF1",130
"NFKB2",130
"NR2C1",130
"RORB",130
"TFAP2C",130
"CEBPB",128
"DMRTB1",128
"ZNF462",128
"DNMT3B",126
"LBX2",126
"MYOD1",126
"ZBTB8B",126
"ZNF541",126
"ARID3C",124
"CEBPG",124
"E2F3",124
"GBX1",124
"GMEB1",124
"NFIB",124
"SMAD6",124
"TSC22D2",124
"HSF4",122
"NONO",122
"ELK3",120
"KLF2",120
"MLXIPL",120
"NFE2L2",120
"NPAS3",120
"ZFPM1",120
"ATF2",118
"JARID2",118
"HIVEP2",116
"MAX",116
"NCOA3",116
"NFE2L1",116
"NR5A1",116
"PRDM4",116
"ZNF282",116
"ALX3",114
"GLIS2",114
"HOXD9",114
"MESP1",114
"NR2E1",114
"ZNF512",114
"FOXF1",112
"HEY2",112
"HNF4G",112
"HOXA2",112
"T",112
"ZBTB1",112
"EOMES",110
"FOXP2",110
"NFKBIZ",110
"PHOX2B",110
"ZNF687",110
"ATF4",108
"DNAJC2",108
"GATAD2A",108
"HMGXB3",108
"SOX14",108
"TBPL2",108
"E2F1",106
"FOXA2",106
"GLIS1",106
"ESRRG",104
"FOXE1",104
"ID4",104
"RORC",104
"TBPL1",104
"TBX19",104
"GATA1",102
"GRHL2",102
"HOXB13",102
"HOXC6",102
"HOXC8",102
"KDM5A",102
"MEF2C",102
"ZNF142",102
"ZNF236",102
"MUM1",100
"PHTF2",100
"TBX4",100
"ZNF469",100
"E2F4",98
"FOXO3",98
"JUND",98
"TCF25",98
"BATF",96
"ELF3",96
"HAND1",96
"HES1",96
"HHEX",96
"PRDM13",96
"RFX6",96
"TFAP2A",96
"TRERF1",96
"HMG20A",94
"MXI1",94
"ZBTB17",94
"E4F1",92
"FOSL2",92
"LEF1",92
"MITF",92
"TEAD1",92
"TFEB",92
"BF1",90
"CREBZF",90
"NHLH1",90
"TADA2B",90
"ZNF740",90
"SOX18",88
"TRPS1",88
"ZNF277",88
"NKX2-8",87
"ETV5",86
"ISL2",86
"HEY1",84
"HLX",84
"NFIC",84
"SOX13",84
"SP1",84
"ZNF639",84
"MAFA",82
"TCF21",82
"ZNF536",82
"ZNF827",82
"NKX2-2",81
"DMTF1",80
"NOTO",80
"SOX3",80
"HEYL",78
"HMX1",78
"HMX3",78
"TGIF2",78
"NKX2-5",77
"FOXN2",76
"IRF7",76
"TBX22",76
"ERG",74
"ETV1",74
"MSGN1",74
"MXD1",74
"NFATC3",74
"ROR2",74
"TCF15",74
"THAP1",74
"GSC2",72
"HSF5",72
"MXD3",72
"ZBTB47",72
"CSRNP2",70
"HOXD4",70
"NR1H3",70
"OSR1",70
"PAX2",70
"STAT2",70
"NKX6-1",69
"DMRT3",68
"EHF",68
"FERD3L",68
"HNF1B",68
"HOXA6",68
"LHX1",68
"NKX3-2",68
"NR2C2",68
"PBRM1",68
"RLF",68
"CEBPA",66
"CKLF",66
"CRX",66
"HOXA7",66
"MYNN",66
"TGIF1",66
"ZFP92",66
"DNMT3A",64
"ETV4",64
"FOXJ1",64
"HIVEP3",64
"HMX2",64
"KDM5B",64
"OSR2",64
"SMAD1",64
"SRA1",64
"ELF5",62
"HMGA1",62
"POU3F3",62
"HMBOX1",60
"IRF4",60
"MTA1",60
"SNAPC4",60
"TBX1",60
"TP73",60
"ZBTB45",60
"ZC3H6",60
"BNC1",58
"E2F7",58
"HOXD13",58
"KLF13",58
"MYCN",58
"OTP",58
"PRDM8",58
"SCX",58
"STAT6",58
"ZNF518A",58
"NKX2-4",57
"HAND2",56
"ID2",56
"KLF4",56
"KLF9",56
"PITX1",56
"RUNX1",56
"WT1",56
"AR",54
"ETV3L",54
"GSC",54
"HMGXB4",54
"ID3",54
"DRGX",52
"HMG20B",52
"PRDM14",52
"SHOX2",52
"EGR2",50
"HIC1",50
"NEUROG3",50
"NR0B2",50
"ONECUT2",50
"SATB2",50
"ZBTB11",50
"NCOA1",48
"SMARCE1",48
"ALX4",46
"ESR2",46
"FEV",46
"FOXK2",46
"GFI1B",46
"MAFB",46
"SCRT2",46
"CDC5L",44
"MSC",44
"NFKBIA",44
"POU1F1",44
"SALL4",44
"ZBTB7C",44
"ZNF76",44
"DLX1",42
"HOXA13",42
"ONECUT1",42
"POU4F1",42
"TBX20",42
"THAP12",42
"UBP1",42
"ZBTB26",42
"CSRNP3",38
"HOPX",38
"TSHZ3",38
"ZNF711",38
"NKX6-3",37
"ESRRB",36
"TBX2",36
"IKZF5",34
"LHX6",34
"NKX2-3",34
"ZNF131",32
"FOXD1",30
"GCM1",30
